Rank,Player,Team,Pos,Tier,ADP,Notes
145.71,Jasson Dominguez,NYY,OF,,,
147.14,Jonathan Aranda,TB,1B,,,
147.83,Tatsuya Imai,HOU,SP,,,
147.86,Jo Adell,LAA,OF,,,
149.71,Addison Barger,TOR,"3B,OF",,,
151.50,Zack Wheeler,PHI,SP,,,
151.57,Luis Robert,NYM,OF,,,
154.50,Bryce Rainer,DET,SS,,,
154.86,Spencer Torkelson,DET,1B,,,
156.00,Noelvi Marte,CIN,"3B,OF",,,
158.00,Ivan Herrera,STL,C,,,
159.43,Ozzie Albies,ATL,2B,,,
162.14,Nick Pivetta,SD,SP,,,
163.57,Eduardo Quintero,LAD,OF,,,
164.00,Roki Sasaki,LAD,SP,,,
164.29,Jonah Tong,NYM,SP,,,
165.14,Gavin Williams,CLE,SP,,,
165.43,Steven Kwan,CLE,OF,,,
165.57,Nico Hoerner,CHC,2B,,,
166.71,Carlos Rodon,NYY,SP,,,
166.86,Ryan Pepiot,TB,SP,,,
168.29,Josh Hader,HOU,RP,,,
169.29,Edward Florentino,PIT,OF,,,
170.00,Max P Muncy,,,,,
173.33,Jared Jones,PIT,1B,,,
174.00,Mike Trout,LAA,OF,,,
174.50,Cade Smith,CLE,RP,,,
175.00,Cade Horton,CHC,SP,,,
179.00,Heliot Ramos,SF,OF,,,
179.00,Zyhir Hope,LAD,OF,,,
180.43,Sandy Alcantara,MIA,SP,,,
181.00,Payton Tolle,BOS,RP,,,
181.43,Adley Rutschman,BAL,C,,,
182.00,Kade Anderson,SEA,SP,,,
183.57,Jose Altuve,HOU,"2B,OF",,,
185.00,Ronny Henriquez,MIA,RP,,,
186.29,Edward Cabrera,CHC,SP,,,
187.29,Shane Baz,BAL,SP,,,
187.71,Ranger Suarez,BOS,SP,,,
188.43,Royce Lewis,MIN,3B,,,
188.43,Wilyer Abreu,BOS,OF,,,
190.17,Marcelo Mayer,BOS,3B,,,
191.00,Gerrit Cole,NYY,SP,,,
191.71,Cam Smith,HOU,OF,,,
194.29,Kris Bubic,KC,SP,,,
194.57,Shane Bieber,TOR,SP,,,
195.14,Jakob Marsee,MIA,OF,,,
195.29,Eugenio Suarez,CIN,3B,,,
195.67,Kyle Manzardo,CLE,1B,,,
201.00,Andrew Painter,PHI,SP,,,
201.86,Matt Chapman,SF,3B,,,
202.71,Brenton Doyle,COL,OF,,,
204.67,Drew Rasmussen,TB,SP,,,
205.14,Teoscar Hernandez,LAD,OF,,,
205.57,Josue Briceno,DET,C,,,
205.71,Ryan Waldschmidt,ARI,OF,,,
205.83,Carter Jensen,KC,C,,,
206.00,Shota Imanaga,CHC,SP,,,
208.83,Kevin Gausman,TOR,SP,,,
209.29,Kerry Carpenter,DET,OF,,,
209.86,Corbin Burnes,ARI,SP,,,
210.50,Caleb Bonemer,CHW,SS,,,
211.67,Tanner Bibee,CLE,SP,,,
212.00,Robbie Ray,SF,SP,,,
214.00,Brandon Woodruff,MIL,SP,,,
214.14,Dylan Beavers,BAL,OF,,,
216.83,Jordan Lawlar,ARI,3B,,,
217.71,Kristian Campbell,BOS,2B,,,
218.14,Luis Castillo,MIL,OF,,,
218.83,Robby Snelling,MIA,SP,,,
218.86,Bryce Miller,SEA,SP,,,
219.00,Jackson Jobe,DET,SP,,,
219.67,Grayson Rodriguez,LAA,SP,,,
220.67,Devin Williams,NYM,RP,,,
222.14,Colson Montgomery,CHW,"3B,SS",,,
223.57,Ian Happ,CHC,OF,,,
225.00,Lazaro Montes,SEA,OF,,,
228.00,Munetaka Murakami,CHW,1B,,,
228.71,Chandler Simpson,TB,OF,,,
228.83,Yainer Diaz,HOU,C,,,
231.57,Yandy Diaz,TB,1B,,,
233.00,Shane McClanahan,TB,SP,,,
234.00,Eli Willits,WAS,SS,,,
234.17,Joshua Baez,STL,OF,,,
234.17,Kyle Teel,CHW,C,,,
236.57,Matt McLain,CIN,2B,,,
237.14,Andrew Abbott,CIN,SP,,,
238.00,Nathan Eovaldi,TEX,SP,,,
239.00,Alex Clemmey,WAS,SP,,,
240.43,Brandon Nimmo,TEX,OF,,,
241.17,Dansby Swanson,CHC,SS,,,
241.67,Rainiel Rodriguez,STL,C,,,
242.00,AJ Ewing,,,,,
243.17,Hurston Waldrep,ATL,SP,,,
244.71,Taylor Ward,BAL,OF,,,
246.17,Colton Cowser,BAL,OF,,,
246.86,Chase DeLauter,CLE,OF,,,
247.00,George Lombard,NYY,SS,,,
247.33,Ezequiel Tovar,COL,SS,,,
250.14,Alejandro Kirk,TOR,C,,,
250.50,George Springer,TOR,OF,,,
250.50,Masyn Winn,STL,SS,,,
251.83,Braden Montgomery,CHW,OF,,,
252.33,Justin Steele,CHC,SP,,,
252.83,Sal Frelick,MIL,OF,,,
253.00,Francisco Alvarez,NYM,C,,,
253.50,Sonny Gray,BOS,SP,,,
256.00,Willson Contreras,BOS,1B,,,
256.50,Jett Williams,MIL,SS,,,
257.50,Anthony Volpe,NYY,SS,,,
257.67,Quinn Mathews,STL,SP,,,
259.33,Brandon Lowe,PIT,2B,,,
260.40,Jonny Farmelo,SEA,OF,,,
261.17,Connelly Early,BOS,SP,,,
261.67,Ethan Holliday,COL,SS,,,
262.00,Daylen Lile,WAS,OF,,,
262.00,Xavier Edwards,MIA,"2B,SS",,,
262.57,Trevor Rogers,BAL,SP,,,
263.33,Daulton Varsho,TOR,OF,,,
264.00,Trevor Story,BOS,SS,,,
265.00,Alec Burleson,STL,"1B,OF",,,
265.43,Bryan Reynolds,PIT,OF,,,
266.00,Emmanuel Clase,CLE,RP,,,
270.00,Dax Kilby,NYY,SS,,,
270.17,Aaron Nola,PHI,SP,,,
270.33,Jack Flaherty,DET,SP,,,
272.71,Mike Sirota,LAD,OF,,,
272.86,Bryson Stott,PHI,"2B,SS",,,
275.33,Justin Crawford,PHI,OF,,,
276.33,Emmanuel Rodriguez,MIN,OF,,,
276.83,Mark Vientos,NYM,3B,,,
277.50,Liam Doyle,STL,SP,,,
277.50,Logan O’Hoppe,,,,,
278.00,Seth Hernandez,PIT,SP,,,
278.17,JoJo Parker,TOR,SS,,,
278.83,Moises Ballesteros,CHC,DH,,,
280.00,Dominic Canzone,SEA,OF,,,
280.00,Raisel Iglesias,ATL,RP,,,
280.33,Ryan Sloan,SEA,SP,,,
280.50,Carson Williams,TB,SS,,,
281.17,Zebby Matthews,MIN,SP,,,
281.20,Hagen Smith,CHW,SP,,,
286.40,AJ Smith-Shawver,,,,,
286.83,Jordan Beck,COL,OF,,,
287.14,Brett Baty,NYM,"2B,3B",,,
288.00,Gleyber Torres,DET,2B,,,
288.83,Coby Mayo,BAL,1B,,,
290.83,Zac Gallen,ARI,SP,,,
291.17,Dalton Rushing,LAD,C,,,
291.80,Theo Gillen,TB,OF,,,
291.83,Travis Sykora,WAS,SP,,,
292.00,Kazuma Okamoto,TOR,3B,,,
292.17,Jack Leiter,TEX,SP,,,
294.33,Gabriel Moreno,ARI,C,,,
296.83,David Bednar,NYY,RP,,,
297.67,Chase Dollander,COL,SP,,,
299.33,Jaison Chourio,CLE,OF,,,
302.00,Luis Hernandez,SF,SS,,,
302.83,Noah Cameron,KC,SP,,,
304.17,Gage Jump,ATH,SP,,,
304.40,Max Meyer,MIA,SP,,,
305.00,Quinn Priester,MIL,SP,,,
306.50,Ralphy Velazquez,CLE,1B,,,
306.60,Brody Hopkins,TB,SP,,,
307.00,Elmer Rodriguez,,,,,
307.00,Emil Morales,LAD,SS,,,
308.00,Brendan Donovan,SEA,"2B,OF",,,
309.71,Josh Lowe,,,,,
310.00,Spencer Steer,CIN,"1B,OF",,,
311.67,Casey Mize,DET,SP,,,
312.00,Josuar Gonzalez,,,,,
312.50,Charlie Condon,COL,1B,,,
312.83,Colt Keith,DET,"1B,2B,3B",,,
313.00,Otto Lopez,MIA,"2B,SS",,,
313.83,Owen Caissie,MIA,OF,,,
314.50,Evan Carter,TEX,OF,,,
315.50,Triston Casas,BOS,1B,,,
315.80,Brayan Bello,BOS,SP,,,
316.00,David Festa,MIN,SP,,,
318.20,Noah Schultz,CHW,SP,,,
318.50,Kaelen Culpepper,MIN,SS,,,
319.33,Ryan Weathers,NYY,SP,,,
320.67,Ryan Helsley,BAL,RP,,,
323.67,Jackson Ferris,LAD,SP,,,
324.00,Elmer Rodriguez-Cruz,NYY,SP,,,
324.83,Reese Olson,DET,SP,,,
325.33,Salvador Perez,KC,"C,1B",,,
325.67,Lenyn Sosa,CHW,"1B,2B",,,
326.00,Seranthony Dominguez,CHW,RP,,,
326.83,Andrew Vaughn,MIL,1B,,,
327.00,Carlos Correa,HOU,"3B,SS",,,
327.17,Jamie Arnold,ATH,SP,,,
327.67,Troy Melton,DET,RP,,,
328.00,Logan Henderson,MIL,SP,,,
328.33,Jarlin Susana,WAS,SP,,,
328.67,Aiva Arquette,MIA,SS,,,
329.50,Grant Taylor,CHW,RP,,,
330.67,Jeferson Quero,MIL,C,,,
330.80,Ramon Laureano,SD,OF,,,
331.00,Christian Moore,LAA,2B,,,
331.60,Aroldis Chapman,BOS,RP,,,
332.40,Felnin Celesten,SEA,SS,,,
332.67,Jung Hoo Lee,SF,OF,,,
333.33,Kodai Senga,NYM,SP,,,
333.67,Ryne Nelson,ARI,"SP,RP",,,
335.33,Landen Roupp,SF,SP,,,
335.33,Michael Arroyo,SEA,2B,,,
336.50,Emilio Pagan,CIN,RP,,,
337.00,Ernie Clement,TOR,"1B,2B,3B,SS",,,
337.33,Franklin Arias,BOS,SS,,,
337.60,Taj Bradley,MIN,SP,,,
337.83,Alfredo Duno,CIN,C,,,
338.00,Nolan Schanuel,LAA,1B,,,
338.50,Alec Bohm,PHI,"1B,3B",,,
339.33,Randy Rodriguez,SF,RP,,,
339.50,Daniel Palencia,CHC,RP,,,
340.60,Luis Gil,NYY,SP,,,
340.67,Steele Hall,CIN,SS,,,
341.00,Jurrangelo Cijntje,STL,SP,,,
342.25,Mickey Moniak,COL,OF,,,
342.40,Matt Wallner,MIN,OF,,,
342.50,Caleb Durbin,BOS,"2B,3B",,,
342.83,Spencer Jones,NYY,OF,,,
343.20,Jose Soriano,LAA,SP,,,
